id,idp,organisation,alias,alias with country code,tenent host name,country,timezone,language,email,term and cons,logo,landing page
2,https://idp2.dcu.ie/idp/profile/Metadata/SAML,Dublin City University,dcu,dcuie,dcu.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*dcu[.][a-zA-Z\._-]*ie,,,
4,https://idp.cit.ie/idp,Cork Institute of Technology,cit,citie,cit.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*cit[.][a-zA-Z\._-]*ie,Value 2,Value 3,Value 1
6,https://idp.lit.ie/saml2,Limerick Institute of Technology,lit,litie,lit.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*lit[.][a-zA-Z\._-]*ie,,,
7,https://idp.gmit.ie/idp/shibboleth,Galway-Mayo Institute of Technology,gmit,gmitie,gmit.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*gmit[.][a-zA-Z\._-]*ie,,,
8,https://idp.wit.ie/idp/shibboleth,Waterford Institute of Technology,wit,witie,wit.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*wit[.][a-zA-Z\._-]*ie,,,
11,https://idp.iadt.ie/idp/shibboleth,Dun Laoghaire Institite of Art Design and Technology,iadt,iadtie,iadt.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*iadt[.][a-zA-Z\._-]*ie,,,
12,https://sso.ucd.ie/idp/shibboleth,University College Dublin,ucd,ucdie,ucd.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*ucd[.][a-zA-Z\._-]*ie,,,
15,https://idp.rcsi.ie/idp/shibboleth,Royal College of Surgeons in Ireland,rcsi,rcsiie,rcsi.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*rcsi[.][a-zA-Z\._-]*ie,,,
16,https://idp.ncad.ie/idp/shibboleth,National College of Art and Design,ncad,ncadie,ncad.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*ncad[.][a-zA-Z\._-]*ie,,,
17,https://idp.ait.ie/idp/shibboleth,Athlone Institute of Technology,ait,aitie,ait.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*ait[.][a-zA-Z\._-]*ie,,,
18,https://idp.tcd.ie/idp/shibboleth,Trinity College Dublin,tcd,tcdie,tcd.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*tcd[.][a-zA-Z\._-]*ie,,,
19,https://idp.it-tallaght.ie/idp/shibboleth,Institute of Technology Tallaght,it-tallaght,it-tallaghtie,it-tallaght.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*it-tallaght[.][a-zA-Z\._-]*ie,,,
20,https://idp.lyit.ie/idp/shibboleth,Letterkenny Institute of Technology,lyit,lyitie,lyit.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*lyit[.][a-zA-Z\._-]*ie,,,
23,https://idp.itcarlow.ie/idp/shibboleth,Institute of Technology Carlow,itcarlow,itcarlowie,itcarlow.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*itcarlow[.][a-zA-Z\._-]*ie,,,
24,https://hidp.ucc.ie/idp/shibboleth,University College Cork,ucc,uccie,ucc.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*ucc[.][a-zA-Z\._-]*ie,,,
25,https://idp.nuim.ie/idp/shibboleth,Maynooth University,nuim,nuimie,nuim.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*nuim[.][a-zA-Z\._-]*ie,,,
29,https://idp.bcfe.ie/idp/shibboleth,Ballyfermot College of Further Education,bcfe,bcfeie,bcfe.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*bcfe[.][a-zA-Z\._-]*ie,,,
33,https://idp.dias.ie/idp/shibboleth,Dublin Institute for Advanced Studies,dias,diasie,dias.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*dias[.][a-zA-Z\._-]*ie,,,
38,https://idp.rcpi.ie/idp/shibboleth,Royal College of Physicians of Ireland,rcpi,rcpiie,rcpi.unity.ac,Ireland,Europe/Dublin,en_GB,[a-zA-Z0-9\._-]*rcpi[.][a-zA-Z\._-]*ie,,,
39,https://aaf-login.uts.edu.au/idp/shibboleth,"University of Technology, Sydney",uts,utsau,uts.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*uts[.][a-zA-Z\._-]*edu[.]au,,,
40,https://aaf.garvan.org.au/idp/shibboleth,The Garvan Institute of Medical Research,garvan,garvanau,garvan.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*garvan[.][a-zA-Z\._-]*org[.]au,,,
41,https://aaf.latrobe.edu.au/idp/shibboleth,La Trobe University,latrobe,latrobeau,latrobe.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*latrobe[.][a-zA-Z\._-]*edu[.]au,,,
42,https://aaf.nd.edu.au/idp/shibboleth,The University of Notre Dame Australia,nd,ndau,nd.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*nd[.][a-zA-Z\._-]*edu[.]au,,,
43,https://aaf.unsw.edu.au/idp/shibboleth,The University of New South Wales,unsw,unswau,unsw.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*unsw[.][a-zA-Z\._-]*edu[.]au,,,
44,https://aaf1-idp.its.utas.edu.au/idp/shibboleth,University of Tasmania,utas,utasau,utas.unity.ac,Australia,Australia/Hobart,en_GB,[a-zA-Z0-9\._-]*utas[.][a-zA-Z\._-]*edu[.]au,,,
46,https://federation.sydney.edu.au/idp/shibboleth,The University of Sydney,sydney,sydneyau,sydney.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*sydney[.][a-zA-Z\._-]*edu[.]au,,,
47,https://fidp.usc.edu.au/idp/shibboleth,University of the Sunshine Coast,usc,uscau,usc.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*usc[.][a-zA-Z\._-]*edu[.]au,,,
48,https://idp-aaf-prd.usq.edu.au/idp/shibboleth,University of Southern Queensland,usq,usqau,usq.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*usq[.][a-zA-Z\._-]*edu[.]au,,,
49,https://idp-prod.bond.edu.au/idp/shibboleth,Bond University,bond,bondau,bond.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*bond[.][a-zA-Z\._-]*edu[.]au,,,
51,https://idp.ballarat.edu.au/idp/shibboleth,Federation University Australia,federation,federationau,federation.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*federation[.][a-zA-Z\._-]*edu[.]au,,,
52,https://idp.canberra.edu.au/idp/shibboleth,University of Canberra,canberra,canberraau,canberra.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*canberra[.][a-zA-Z\._-]*edu[.]au,,,
53,https://idp.cc.swin.edu.au/idp/shibboleth,Swinburne University of Technology,swin,swinau,swin.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*swin[.][a-zA-Z\._-]*edu[.]au,,,
54,https://idp.cdu.edu.au/idp/shibboleth,Charles Darwin University,cdu,cduau,cdu.unity.ac,Australia,Australia/Darwin,en_GB,[a-zA-Z0-9\._-]*cdu[.][a-zA-Z\._-]*edu[.]au,,,
55,https://idp.central.wa.edu.au/idp/shibboleth,Central Institute of Technology,central,centralau,central.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*central[.][a-zA-Z\._-]*edu[.]au,,,
56,https://idp.cqu.edu.au/idp/shibboleth,CQUniversity,cqu,cquau,cqu.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*cqu[.][a-zA-Z\._-]*edu[.]au,,,
57,https://idp.csu.edu.au/idp/shibboleth,Charles Sturt University (CSU),csu,csuau,csu.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*csu[.][a-zA-Z\._-]*edu[.]au,,,
58,https://idp.flinders.edu.au/idp/shibboleth,Flinders University,flinders,flindersau,flinders.unity.ac,Australia,Australia/Adelaide,en_GB,[a-zA-Z0-9\._-]*flinders[.][a-zA-Z\._-]*edu[.]au,,,
60,https://idp.jcu.edu.au/idp/shibboleth,James Cook University,jcu,jcuau,jcu.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*jcu[.][a-zA-Z\._-]*edu[.]au,,,
61,https://idp.monash.edu.au/idp/shibboleth,Monash University,monash,monashau,monash.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*monash[.][a-zA-Z\._-]*edu[.]au,,,
62,https://idp.murdoch.edu.au/idp/shibboleth,Murdoch University,murdoch,murdochau,murdoch.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*murdoch[.][a-zA-Z\._-]*edu[.]au,,,
63,https://idp.newcastle.edu.au/idp/shibboleth,University of Newcastle,newcastle,newcastleau,newcastle.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*newcastle[.][a-zA-Z\._-]*edu[.]au,,,
65,https://idp.qut.edu.au/idp/shibboleth,Queensland University of Technology,qut,qutau,qut.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*qut[.][a-zA-Z\._-]*edu[.]au,,,
66,https://idp.scu.edu.au/idp/shibboleth,Southern Cross University,scu,scuau,scu.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*scu[.][a-zA-Z\._-]*edu[.]au,,,
68,https://idp.une.edu.au/idp/shibboleth,University of New England,une,uneau,une.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*une[.][a-zA-Z\._-]*edu[.]au,,,
69,https://idp.unimelb.edu.au/idp/shibboleth,The University of Melbourne,unimelb,unimelbau,unimelb.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*unimelb[.][a-zA-Z\._-]*edu[.]au,,,
70,https://idp.uow.edu.au/idp/shibboleth,The University of Wollongong,uow,uowau,uow.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*uow[.][a-zA-Z\._-]*edu[.]au,,,
71,https://idp.uwa.edu.au/idp/shibboleth,The University of Western Australia,uwa,uwaau,uwa.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*uwa[.][a-zA-Z\._-]*edu[.]au,,,
72,https://idp.uws.edu.au/idp/shibboleth,University of Western Sydney,uws,uwsau,uwsau.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*uws[.][a-zA-Z\._-]*edu[.]au,,,
73,https://idp1.griffith.edu.au/idp/shibboleth,Griffith University,griffith,griffithau,griffith.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*gu[.][a-zA-Z\._-]*edu[.]au|[a-zA-Z0-9\._-]*griffith[.][a-zA-Z\._-]*edu[.]au,,,
74,https://idp2.anu.edu.au/idp/shibboleth,Australian National University,anu,anuau,anu.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*anu[.][a-zA-Z\._-]*edu[.]au,,,
75,https://idpp1.curtin.edu.au/idp/shibboleth,Curtin University,curtin,curtinau,curtin.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*curtin[.][a-zA-Z\._-]*edu[.]au,,,
76,https://idpweb1.vu.edu.au/idp/shibboleth,Victoria University,vu,vuau,vu.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*vu[.][a-zA-Z\._-]*edu[.]au,,,
77,https://shib-idp.acu.edu.au/idp/shibboleth,Australian Catholic University,acu,acuau,acu.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*acu[.][a-zA-Z\._-]*edu[.]au,,,
79,https://shibidp.ecu.edu.au/idp/shibboleth,Edith Cowan University,ecu,ecuau,ecu.unity.ac,Australia,Australia/Perth,en_GB,[a-zA-Z0-9\._-]*ecu[.][a-zA-Z\._-]*edu[.]au,,,
80,https://signon.deakin.edu.au/idp/shibboleth,Deakin University,deakin,deakinau,deakin.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*deakin[.][a-zA-Z\._-]*edu[.]au,,,
81,https://sso-shibboleth.rmit.edu.au/idp/shibboleth,RMIT University,rmit,rmitau,rmit.unity.ac,Australia,Australia/Melbourne,en_GB,[a-zA-Z0-9\._-]*rmit[.][a-zA-Z\._-]*edu[.]au,Value 2,Value 1,Value 2
82,https://unisa.edu.au/idp/shibboleth,University of South Australia,unisa,unisaau,unisa.unity.ac,Australia,Australia/Adelaide,en_GB,[a-zA-Z0-9\._-]*unisa[.][a-zA-Z\._-]*edu[.]au,,,
84,urn:mace:federation.org.au:testfed:au-idp.adelaide.edu.au,University of Adelaide,adelaide,adelaideau,adelaide.unity.ac,Australia,Australia/Adelaide,en_GB,[a-zA-Z0-9\._-]*adelaide[.][a-zA-Z\._-]*edu[.]au,,,
85,urn:mace:federation.org.au:testfed:mq.edu.au,Macquarie University,mq,mqau,mq.unity.ac,Australia,Australia/Sydney,en_GB,[a-zA-Z0-9\._-]*mq[.][a-zA-Z\._-]*edu[.]au,,,
86,urn:mace:federation.org.au:testfed:uq.edu.au,The University of Queensland,uq,uqau,uq.unity.ac,Australia,Australia/Brisbane,en_GB,[a-zA-Z0-9\._-]*uq[.][a-zA-Z\._-]*edu[.]au,,,
88,http://idp.chalmers.se/adfs/services/trust,Chalmers,chalmers,chalmersse,chalmers.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*chalmers[.][a-zA-Z\._-]*se,Value 2,Value 2,Value 2
89,https://idp.hig.se/idp/shibboleth,Högskolan i Gävle,hig,higse,hig.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*hig[.][a-zA-Z\._-]*se,,,
91,https://idp.lnu.se/idp/shibboleth,Linnéuniversitetet,lnu,lnuse,lnu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*vxu[.][a-zA-Z\._-]*se|[a-zA-Z0-9\._-]*hik[.][a-zA-Z\._-]*se|[a-zA-Z0-9\._-]*lnu[.][a-zA-Z\._-]*se,,,
92,https://login.du.se/idp/shibboleth,Högskolan Dalarna,du,duse,du.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*du[.][a-zA-Z\._-]*se,,,
93,https://idp.mah.se/idp/shibboleth,Malmö Högskola,mah,mahse,mah.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*mah[.][a-zA-Z\._-]*se,,,
95,https://idp2-1.slu.se/idp/shibboleth,Sveriges Lantbruksuniversitet,slu,sluse,slu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*slu[.][a-zA-Z\._-]*se,,,
96,https://login.liu.se/idp/shibboleth,Linköpings Universitet,liu,liuse,liu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*liu[.][a-zA-Z\._-]*se,,,
97,https://shibbo.ltu.se/idp/shibboleth,Luleå Tekniska Universitet,ltu,ltuse,ltu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*luth[.][a-zA-Z\._-]*se|[a-zA-Z0-9\._-]*ltu[.][a-zA-Z\._-]*se,,,
98,https://idp.hkr.se/idp/shibboleth,Högskolan Kristianstad,hkr,hkrse,hkr.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*hkr[.][a-zA-Z\._-]*se,,,
99,https://idp.it.su.se/idp/shibboleth,Stockholms Universitet,su,suse,su.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*su[.][a-zA-Z\._-]*se,,,
100,https://saml-1.sys.kth.se/idp/shibboleth,Kungliga Tekniska Högskolan,kth,kthse,kth.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*kth[.][a-zA-Z\._-]*se,,,
101,https://shib-idp-1.oru.se/idp/shibboleth,Örebro Universitet,oru,oruse,oru.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*oru[.][a-zA-Z\._-]*se|[a-zA-Z0-9\._-]*orebroll[.][a-zA-Z\._-]*se,,,
102,https://idp.umu.se/saml2/idp/metadata.php,Umeå Universitet,umu,umuse,umu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*umu[.][a-zA-Z\._-]*se,,,
103,https://idp2.kau.se/idp/shibboleth,Karlstads Universitet,kau,kause,kau.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*kau[.][a-zA-Z\._-]*se,,,
104,https://shibb1.hj.se/idp/shibboleth,Högskolan i Jönköping,hj,hjse,hj.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*hj[.][a-zA-Z\._-]*se,,,
106,https://idp.kb.se/idp/shibboleth,Kungliga biblioteket,kb,kbse,kb.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*kb[.][a-zA-Z\._-]*se,,,
107,https://signon.hh.se/idp/shibboleth,Högskolan i Halmstad,hh,hhse,hh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*hh[.][a-zA-Z\._-]*se,,,
108,https://vmidgw3.miun.se/idp/shibboleth,Mittuniversitetet,miun,miunse,miun.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*miun[.][a-zA-Z\._-]*se,,,
109,https://idp.irf.se/idp/shibboleth,Institutet för Rymdfysik,irf,irfse,irf.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*irf[.][a-zA-Z\._-]*se,,,
113,https://idp.student.bth.se/idp/shibboleth,Blekinge Tekniska Högskola (Studenter),bth,bthse,bth.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*bth[.][a-zA-Z\._-]*se,,,
114,https://identity.mdh.se/idp/shibboleth,Mälardalens Högskola,mdh,mdhse,mdh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*mdh[.][a-zA-Z\._-]*se,,,
115,https://idp.it.gu.se/idp/shibboleth,Göteborgs Universitet,gu,guse,gu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*gu[.][a-zA-Z\._-]*se,,,
116,http://adfs01.fhs.se/adfs/services/trust,Försvarshögskolan,fhs,fhsse,fhs.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*fhs[.][a-zA-Z\._-]*se,,,
117,https://idp.konstfack.se/idp/shibboleth,Konstfack,konstfack,konstfackse,konstfack.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*konstfack[.][a-zA-Z\._-]*se,,,
119,https://idp.kmh.se/idp/shibboleth,Kungliga Musikhögskolan,kmh,kmhse,kmh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*kmh[.][a-zA-Z\._-]*se,,,
120,https://shibboleth.net.lu.se/idp/shibboleth,Lunds Universitet,lu,luse,lu.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*lu[.][a-zA-Z\._-]*se,,,
121,https://idp.kva.se/idp/shibboleth,Kungliga vetenskapsakademien,kva,kvase,kva.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*kva[.][a-zA-Z\._-]*se,,,
123,https://idp.esh.se/idp/shibboleth,Ersta Sköndal Högskola,esh,eshse,esh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*esh[.][a-zA-Z\._-]*se,,,
125,https://kiidp.ki.se/idp/shibboleth,Karolinska Institutet,ki,kise,ki.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*ki[.][a-zA-Z\._-]*se,,,
126,https://swamid2.shh.se/idp/shibboleth,Sophiahemmet Högskola,shh,shhse,shh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*shh[.][a-zA-Z\._-]*se,,,
127,https://idp.suni.se/adfs/services/trust,Södertörns högskola,sh,shse,sh.unity.ac,Sweden,Europe/Stockholm,sv_SE,[a-zA-Z0-9\._-]*sh[.][a-zA-Z\._-]*se,,,
